"region","ei.area.hi","gi.area.hi","ei.prod.hi","gi.prod.hi","tot.area.hi","tot.prod.hi","tot.area.all","tot.prod.all","eigi.area.hi","eigi.prod.hi"
"Andean",356551.889349148,450700.442780883,1290879.14668166,1540682.80754174,456329.757258313,1547718.4038362,592819.42,1637651.22,450700.442780883,1540682.80754174
"Australasia",3944918.06672988,6761767.52168117,10558050.121873,18700315.7749019,7742322.58991488,21179781.2827634,13956890,30393623,6761767.52168117,18700315.7749019
"CACaribbean",2355.69800788259,2719.70800680908,2237.39885152507,2660.50326760372,2720.81218274112,2662.25190563025,4000,2913,2719.70800680908,2660.50326760372
"ECentralAfrica",476362.031069166,492649.875875589,1638776.46903583,1689568.12971905,707704.549708431,2442680.29532373,2298744,4693720,492649.875875589,1689568.12971905
"ESouthAm",3398225.49257006,3483988.2676026,10411539.854057,10573001.0633922,3575482.47342887,10799977.2175851,5982114,14985983,3483988.2676026,10573001.0633922
"Eurasia",1743252.46466033,18897108.4239817,7502699.02261077,74957599.3040784,19190081.2760314,75531260.776521,29614632,92102560,18897108.4239817,74957599.3040784
"FSU",53770.2934005328,21558242.8151956,157342.571882707,53387676.3165436,30169096.9547193,64654154.1562168,47003745,82682256,21558242.8151956,53387676.3165436
"NAfrWEu",4347609.85247597,17390252.4861484,13072502.588205,97847663.1577209,17499831.2047397,98064623.4235842,20624321,101936650,17390252.4861484,97847663.1577209
"NEAsia",13384100.0186406,24617551.5025755,67504047.0277457,121865221.111731,24658223.3804082,121991302.441198,24707036,122020967,24617551.5025755,121865221.111731
"NorthAmerica",3719628.07412159,25134569.2368639,12461817.4614797,79920052.7009386,29682839.2022528,91900448.6408308,29873680,92156924,25134569.2368639,79920052.7009386
"Pacific",0,0,0,0,0,0,0,0,0,0
"SEAsia",50428.0962771251,80011.4335632893,103494.645383581,164340.790340315,80048.5883452758,164373.517894813,104150,187000,80011.4335632893,164340.790340315
"SouthAfr",306581.215355553,329005.508645525,1606849.73621135,1729478.08904575,341707.895792935,1785647.7930244,594424,2250394,329005.508645525,1729478.08904575
"SouthWestAsia",1024430.79028619,32914751.1055783,2296133.27628692,112133824.385824,34590576.4612768,118127882.694157,42147540,126249936,32914751.1055783,112133824.385824
"WCentralAfrica",1736.86394874546,3164.56387081102,5134.39664129642,8198.15869706334,72892.8318539286,130442.550432022,126680,181337,3164.56387081102,8198.15869706334
NA,0,1945.92964139809,0,6604.57111074856,2039.29596005447,6842.62133099981,2051,6859,1945.92964139809,6604.57111074856
